id,Торг_точка_чистый_адрес
346,"ИП Шапорева 347045 Рост.обл.г.Белая Калитва ул.Энгелься 47"
347,"ИП Шапорева,347045,Рост.обл.г.Белая Калитва, ул.Энгелься 47,"
348,"Тарасовка, ул. мира 84"
349,"г.Ростов-на-Дону, пер.Жлобинский, 25"
350,"Ростов н/Д, _x001F__x001F_пер.энергетиков 2"
351,"г.Аксай, ул.Садовая 20/2"
352,"х.Халыба-Адабашев, ул.Молодёжная, 18"
353,"п.Глубокий, ул.Ленина 123"
354,"347800 Ростовская обл г Каменск-Шахтинский ул Профильная 33"
355,"347800 Ростовская обл. г.Каменск-Шахтинский ул.Профильная 33"
356,"347800 Ростовская обл.,г.Каменск-Шахтинский,ул.Профильная 33"
357,"Рост обл Мясник р-н с Чалтырь ул Ростов"
358,"Рост.обл. Мясник.р-н с.Чалтырь ул.Ростов"
359,"Рост.обл.,Мясник.р-н,с.Чалтырь,ул.Ростов"
360,"г.Донецк, ул.Садовая, 12"
361,"с.Криворожье, ул. Моподежная, д.48"
362,"х.Каменка, ул Почтовая, д.3"
363,"х.Креничный, ул.Речная,36"
364,"х.Екатериновка, ул.Юбилейная, 84"
365,"х.Креничный, ул.Лесная, 2"
366,"г.Ростов н/Д, ул.Геологическая, 50"
367,"Таганрожское ш106"
368,"Таганрогское ш106"
369,"х.Дячкино, ул.Мира, 30"
370,"г.Ростов н/Д, пер.Крепостной, 16/36"
371,"Миллеровское СПО 346130 Ростовская обл г Миллерово ул Советская 53"
372,"Миллеровское СПО,346130,Ростовская обл.,г.Миллерово,ул.Советская,53"
373,"г.Миллерово, ул.Декабристов, 7"
374,"х.Долотинка, ул.Школьная, 39, м-н 7"
375,"с.Дёгтево, ул.Российская, 10, м-н 25"
376,"с.Поповка, ул.Еленовская, 1, м-н 13"
377,"х.Хмызов, ул.Ленина, 9 , м-н 52"
378,"346130 Ростовская обл.,г.Миллерово,ул. 3 Интернационала,33"
379,"Варфоломеева 58/22 (угол 1-го переулка)"
380,"Неклиновский р-н, с. Русский Колодец, ул.Мирная, 1"
381,"г.Ростов н/Д, ул.Тибетская, 36, район "Горизонта""
382,"ООО "Апейрон" г Ростов-на-Дону ул ул Социалистическая 74"
383,"ООО "Апейрон" г.Ростов-на-Дону ул.ул.Социалистическая 74"
384,"ООО "Апейрон" г.Ростов-на-Дону,ул.ул.Социалистическая, 74"
385,"347630 Ростовская обл. г.Сальск ул.Фрунзе 1"
386,"Ростов н/Д, ул. Нариманова, 18"
387,"Азовский Р-н. С.Пешково пер. Строительный 9"
388,"105062,г.Москва,Лялин пер.,д.5/1,стр.1"
389,"г.Новочеркас, ул.Московская 85"
390,"Ростов-на-Дону, ул. Солидарности 22б"
391,"346050, п.Тарасовский, ул.Октябрьская, 72 Тарасовского района Ростовской области"
392,"347360, Ростовская обл., г. Волгодонск, ул.Складская, 5Н,ИНН 6164105571, КПП 614345001"
393,"ООО "ВЕНТА",347210, Ростовская обл., Морозовский р-н, г. Морозовск, ул. К.Либкнехта 1"
394,"г.Ростов н/Д, ул.Текучёва, 123/143"
395,"г Новочеркаск ул Народная 48 м-н Донская чаша"
396,"г.Новочеркаск ул.Народная 48 м-н Донская чаша"
397,"г.Новочеркаск,ул.Народная 48,м-н Донская чаша"
398,"ООО "ВИСМУТ",347210 Ростовская обл., г. Морозовский р-он,г.Морозовск ул.К.Либкнехта 1"
399,"г. Ростов-на-Дону, пер.Обский д.5/74"
400,"г Ростов-на-Дону ул Киргизская 38а"
401,"г. Ростов-на-Дону, ул. Киргизская, 38а"
402,"г.Донецк,ул.Горького,67"
403,"г.Ростов-на-Дону,ул.Можайская, 38/1"
404,"ООО "ВкусДона" г.Новочеркасск, ул.Машиностроителей 4"
405,"г.Батайск Шоссе Восточное 17в"
406,"г.Ростов н/Д, ул.Казахская, 40"
407,"Ростовская обл., г.Батайск, ул. Сальская, 44"
408,"Новочеркасск, п. Ключевой, ул.Центральная, 7"
409,"г.Таганрог, ул.Фрунзе, 62"
410,"ул.Липовая 1 ( Ростовское море) за нал"
411,"344094 Ростов-на-Дону Можайская 38/1"
412,"344094, Ростов-на-Дону, Можайская, 38/1"
413,"г.Ростов-на-Дону, пр-т Будёновский, д.12"
414,"г.Ростов-на-Дону, ул.Сержатова 7/Конная 22"
415,"Азовский р-он. п. Овощной ул. Горького 1"
416,"г.Ростов н/Д, ул.Казахская, 69 б"
417,"353740 Краснодарский край ст.Ленинградская ул.Братская 1А универсам Ермак"
418,"Батайск, Энгельса, 35"
419,"Аксайский р-н, пос.Российский, ул.Молодёжная 64а"
420,"344082 г. Ростов на Дону,ул.Береговая,8 оф.1504"
421,"Г.Таганрог,Котластроительный 25/1 кондитерская Ириска"
422,"344000 г.Ростов-на-Дону ул.Б.Садовая 8"
423,"344000 г.Ростов-на-Дону, ул.Б.Садовая, 8"
424,"346480 Рост.обл. р.п.Каменоломни(Октябрьский р-н) ул. им. Крупской д. 59 а"
425,"344022, г. Ростов-на-Дону, ул. Максима Горького, 199, кор. 4"
426,"344092, г. Ростов-на-Дону, ул. Добровольского, 5а"
427,"344092 г Ростов-на-Дону ул Добровольского 5а м-н продукты"
428,"344092, г. Ростов-на-Дону, ул. Добровольского, 5а м-н продукты"
429,"х.Красновка, ул.Железнодорожная, м-н 54"
430,"х.Нижнемитякин, ул.Правобережная, 66"
431,"346130 г.Миллерово,ул.3 Интернационала33"
432,"ул Комарова 24 м-н "Доступная коллекция""
433,"ул. Комарова 24 м-н "Доступная коллекция""
434,"ул. Комарова 24, м-н "Доступная коллекция""
435,"г.Новочеркасск, ул.Горького, 23а"
436,"г.Новочеркасск, ул.Мацоты, 32"
437,"г.Ростов -на-Дону, ул. Комсомольская,3"
438,"347805 Ростовская обл г Каменск-Шахтинский пр К Маркса 54Б"
439,"347805 Ростовская обл. г. Каменск-Шахтинский пр.К.Маркса 54Б"
440,"347805, Ростовская обл.,г. Каменск-Шахтинский,пр.К.Маркса 54Б"
441,"г.Темрюк, г.Р. Люксембург, 35"
442,"Горького 199"
443,"г.Таганрог, ул.Транспортная, 1"
444,"346130 РФ Ростовская обл г Миллерово ул 3-го Интернационала 33"
445,"346130 РФ Ростовская обл. г.Миллерово ул.3-го Интернационала 33"
446,"346130,РФ,Ростовская обл. г.Миллерово,ул.3-го Интернационала,33"
447,"с.Кагальник, ул.Пролетарская, 82"
448,"г.Ростов н/Д, ул.Турмалиновская, 85"
449,"344010, г. Ростов-на-Дону, пр. Ворошиловский, 91/1"
450,"Варфоламеева 264/110"
451,"г.Ростов-на-Дону, ул.Варфоломеева 264/110"
452,"344011 г.Ростов-на-Дону ул.Башкирская, 14"
453,"344011 г Ростов-на-Дону ул Ларина 24/1"
454,"344011 г.Ростов-на-Дону ул.Ларина 24/1"
455,"г.Волгодонск Ул.Черникова 14 - 90"
456,"г.Волгодонск, Ул.Черникова 14 - 90"
457,"ООО "Онис" ул.Социалистическая,114-116/22"
458,"ООО"ОПР"344002 г Ростов-на-Дону пр Буденновский 19а/55//50а"
459,"ООО"ОПР"344002 г.Ростов-на-Дону пр.Буденновский 19а/55//50а"
460,"ООО"ОПР"344002,г.Ростов-на-Дону,пр.Буденновский 19а/55//50а"
461,"347800 Ростовская обл г Каменск-Шахтинский ул Героев Пионеров д 25"
462,"347800, Ростовская обл., г. Каменск-Шахтинский, ул. Героев Пионеров д. 25"
463,"Ростов н/Д, Вавилова, 70"
464,"Филиал ООО "Пивоваренная компания "Балтика", г.Ростов-на-Дону,ул. Доватора146"а""
465,"г Ростов-на-Дону пр 40 лет Победы 67/2"
466,"г.Ростов-на-Дону пр.40 лет Победы 67/2"
467,"г.Ростов-на-Дону,пр.40 лет Победы,67/2"
468,"344041, г. Ростов-на-Дону, ул. Ленточная, 1"
469,"ООО "Ридер" ул.Садовая 11 г.Аксай"
